ID,PV_mean,PV_std,PV_count,NPV_mean,NPV_std,NPV_count,BS_mean,BS_std,BS_count
NSAMDD0030-56989,25.33,2.44,15,47.87,2.78,15,25.40,3.90,15
NSAMDD0031-58572,41.94,1.34,16,0.00,0.00,16,56.44,1.62,16
NSAMDD0032-58573,25.31,1.61,16,46.12,2.20,16,27.31,2.39,16
NSAMUL0001-58549,19.69,2.08,16,44.75,2.25,16,34.31,3.48,16
NSAMUL0002-58559,22.38,1.58,16,43.69,2.57,16,32.69,3.51,16
NSAMUL0003-58550,20.67,2.53,12,40.25,6.94,12,37.75,7.60,12
NSAMUL0004-58560,12.62,2.29,8,55.50,2.50,8,31.00,3.74,8
NTAARP0003-58424,38.19,3.41,16,47.25,1.39,16,13.19,3.07,16
NTABRT0001-53616,20.12,1.17,16,52.31,3.04,16,26.31,3.16,16
NTABRT0003-53618,17.88,1.45,16,54.50,2.24,16,26.44,2.98,16
NTABRT0004-53619,23.19,1.88,16,49.94,1.85,16,25.44,2.89,16
NTABRT0006-53621,24.53,1.91,17,49.88,1.60,17,24.29,2.78,17
NTADAC0001-53518,43.30,3.74,20,50.35,1.85,20,5.45,3.22,20
NTADAC0002-58039,31.58,0.86,12,67.75,1.01,12,0.00,0.00,12
NTAFIN0001-53519,1.14,1.25,14,64.29,3.28,14,33.36,3.31,14
NTAFIN0001-58009,8.44,0.68,9,30.11,3.14,9,59.89,2.73,9
NTAFIN0002-53622,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0002-58018,23.31,2.44,16,48.06,2.36,16,27.50,3.41,16
NTAFIN0003-53623,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0003-58017,13.75,3.73,16,38.31,5.41,16,46.56,6.07,16
NTAFIN0003-58788,12.67,4.78,3,34.67,8.06,3,51.33,11.59,3
NTAFIN0004-53624,9.06,1.75,16,55.25,3.44,16,34.25,3.13,16
NTAFIN0004-58010,15.75,1.39,16,52.56,1.00,16,30.38,1.41,16
NTAFIN0004-58789,10.00,2.29,16,50.56,2.21,16,38.00,2.45,16
NTAFIN0005-58011,12.44,1.69,16,35.12,2.23,16,50.88,2.69,16
NTAFIN0006-53626,9.00,0.00,2,24.00,0.00,2,65.50,0.50,2
NTAFIN0006-58012,16.06,2.05,16,26.75,2.30,16,55.62,1.27,16
NTAFIN0006-58737,11.56,1.50,16,19.00,3.46,16,67.81,2.74,16
NTAFIN0007-53627,6.54,1.34,13,27.38,2.76,13,64.54,2.27,13
NTAFIN0007-58013,10.30,1.68,10,30.30,3.32,10,57.90,2.91,10
NTAFIN0007-58715,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0008-53628,7.50,1.50,16,26.44,2.85,16,64.56,3.35,16
NTAFIN0008-58014,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0008-58790,0.75,1.20,16,28.19,4.07,16,69.69,4.40,16
NTAFIN0009-58738,14.50,2.23,14,28.00,2.51,14,55.86,3.44,14
NTAFIN0010-58016,19.00,1.78,12,26.33,2.49,12,53.17,3.44,12
NTAFIN0011-53631,6.27,1.61,15,53.20,3.51,15,39.13,2.94,15
NTAFIN0011-58019,16.44,1.62,16,43.50,3.12,16,38.75,2.49,16
NTAFIN0011-58739,10.69,1.61,16,38.06,4.18,16,50.00,3.54,16
NTAFIN0012-53632,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0013-53633,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0014-53634,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0015-53635,27.38,4.74,16,30.56,6.01,16,40.75,9.82,16
NTAFIN0016-53636,12.69,1.21,16,23.94,3.33,16,61.88,2.50,16
NTAFIN0017-53637,22.06,3.07,16,27.94,3.94,16,48.75,4.62,16
NTAFIN0018-53638,15.33,1.11,6,34.17,3.89,6,49.00,4.08,6
NTAFIN0019-53639,18.38,1.73,16,39.69,4.96,16,40.50,5.74,16
NTAFIN0020-53640,11.44,1.22,16,51.62,3.02,16,35.50,2.50,16
NTAFIN0021-53641,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAFIN0022-53642,11.00,3.10,16,45.19,6.77,16,42.31,4.47,16
NTAFIN0023-53643,15.88,1.05,16,34.94,1.78,16,47.69,2.39,16
NTAFIN0024-53644,21.81,1.63,16,37.69,2.02,16,39.31,2.99,16
NTAFIN0025-53645,10.00,3.28,13,43.23,6.45,13,45.46,4.01,13
NTAFIN0026-53646,7.94,1.95,16,53.25,3.96,16,37.44,4.15,16
NTAFIN0027-53647,4.50,1.27,16,43.06,3.03,16,50.75,2.86,16
NTAFIN0028-53746,7.94,1.25,16,27.88,3.69,16,62.81,3.03,16
NTAFIN0029-53747,2.62,1.22,16,39.56,3.24,16,56.31,2.36,16
NTAFIN0030-53748,7.69,1.79,16,51.50,2.37,16,39.19,3.09,16
NTAFIN0031-53749,2.36,1.29,14,53.21,8.99,14,42.93,7.48,14
NTAFIN0032-53750,8.94,1.68,16,49.94,3.70,16,39.50,3.00,16
NTAFIN0033-53751,11.69,2.97,16,42.31,3.31,16,44.69,4.01,16
NTAGFU0001-53648,24.33,1.25,15,57.67,3.34,15,16.67,2.98,15
NTAGFU0005-53652,39.50,3.46,16,46.50,3.06,16,12.50,3.02,16
NTAGFU0006-53653,45.40,8.50,10,45.70,3.58,10,7.60,5.68,10
NTAGFU0007-53654,13.38,5.53,16,59.50,4.00,16,26.00,5.37,16
NTAGFU0009-53656,28.06,6.12,16,49.88,3.08,16,20.69,7.86,16
NTAGFU0010-53657,21.12,1.65,16,48.25,4.74,16,29.31,4.57,16
NTAGFU0011-53658,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAGFU0013-53660,25.20,0.75,5,56.00,2.00,5,17.40,2.06,5
NTAGFU0015-53662,20.81,1.59,16,63.88,2.96,16,14.00,2.57,16
NTAGFU0018-53665,34.00,3.67,8,58.25,1.92,8,6.62,4.09,8
NTAGFU0019-53666,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAGFU0020-53667,40.19,4.13,16,54.25,3.33,16,4.44,1.97,16
NTAGFU0021-53668,26.76,4.73,17,59.53,5.62,17,12.65,3.03,17
NTAGFU0023-53670,41.25,3.15,16,48.19,3.73,16,9.19,3.09,16
NTAGFU0025-53672,35.24,1.77,17,56.82,1.50,17,6.94,1.47,17
